keyword,doc_id,Frecuencia
9811 officially,10_1007_s00134_020_05954_2_page1,1
authorities,10_1007_s00134_020_05954_2_page1,1
people would,10_1007_s00134_020_05954_2_page1,1
spread,10_1007_s00134_020_05954_2_page1,2
stream,10_1007_s00134_020_05954_2_page1,1
aware,10_1007_s00134_020_05954_2_page2,1
drew,10_1007_s00134_020_05954_2_page2,1
priority,10_1007_s00134_020_05954_2_page2,1
protection,10_1007_s00134_020_05954_2_page2,1
disease severity,10_1007_s00134_020_05954_2_page3-2,1
permitted,10_1007_s00134_020_05954_2_page3-2,2
includes,10_1007_s00134_020_05954_2_page3,1
members,10_1007_s00134_020_05954_2_page3,1
set,10_1007_s00134_020_05954_2_page3,1
staff,10_1007_s00134_020_05954_2_page3,5
team,10_1007_s00134_020_05954_2_page3,2
model,10_1007_s00134_020_05954_2_page4,1
parameters,10_1007_s00134_020_05954_2_page4,1
affinity,10_1007_s00134_020_05985_9_page1,2
author,10_1007_s00134_020_05985_9_page1,1
epidemic tion,10_1007_s00134_020_05985_9_page1,1
et,10_1007_s00134_020_05985_9_page1,10
human,10_1007_s00134_020_05985_9_page1,5
reported,10_1007_s00134_020_05985_9_page1,2
dual functions,10_1007_s00134_020_05985_9_page2-2,1
exert,10_1007_s00134_020_05985_9_page2-2,1
lung highly,10_1007_s00134_020_05985_9_page2,1
overexpressing 1,10_1007_s00134_020_05985_9_page2,1
serine 2 aminopeptidase,10_1007_s00134_020_05985_9_page2,1
spread,10_1007_s00134_020_05985_9_page2,1
based vaccine,10_1007_s00134_020_05985_9_page3,1
format,10_1007_s00134_020_05985_9_page3,1
inhibitor,10_1007_s00134_020_05985_9_page3,1
knowledge,10_1007_s00134_020_05985_9_page3,1
long,10_1007_s00134_020_05985_9_page3,1
pilot trial,10_1007_s00134_020_05985_9_page3,1
severe,10_1007_s00134_020_05985_9_page3,2
novel,10_1007_s00134_020_05985_9_page4-2,3
protein,10_1007_s00134_020_05985_9_page4-2,2
hou,10_1007_s00134_020_05985_9_page4,3
acute respiratory,10_1007_s00134_020_05985_9_page5,1
converting enzyme,10_1007_s00134_020_05985_9_page5,2
coronavirus,10_1007_s13238_020_00693_y_page1,8
im,10_1007_s13238_020_00693_y_page1,7
latest,10_1007_s13238_020_00693_y_page2-2,1
possibility,10_1007_s13238_020_00693_y_page2-2,1
published information,10_1007_s13238_020_00693_y_page2-2,1
replication,10_1007_s13238_020_00693_y_page2-2,1
addition,10_1007_s13238_020_00693_y_page2,1
et,10_1007_s13238_020_00693_y_page2,11
et al,10_1007_s13238_020_00693_y_page2,5
mutation,10_1007_s13238_020_00693_y_page2,2
model,10_1007_s13238_020_00693_y_page3-2,2
another study,10_1007_s13238_020_00693_y_page3,1
cas,10_1007_s13238_020_00693_y_page3,2
copyright holder,10_1007_s13238_020_00693_y_page3,1
data article,10_1007_s13238_020_00693_y_page3,1
estimated,10_1007_s13238_020_00693_y_page3,1
et al,10_1007_s13238_020_00693_y_page3,5
ing,10_1007_s13238_020_00693_y_page3,13
material,10_1007_s13238_020_00693_y_page3,3
statutory regulation,10_1007_s13238_020_00693_y_page3,1
transmissibility,10_1007_s13238_020_00693_y_page3,1
virus,10_1007_s13238_020_00693_y_page3,10
2019 coronavirus,10_1007_s13238_020_00693_y_page4,1
global health concern,10_1007_s13238_020_00693_y_page4,1
identi,10_1007_s13238_020_00693_y_page4,1
novel coronavirus,10_1007_s13238_020_00693_y_page4,5
severe,10_1007_s13238_020_00693_y_page4,3
disease outbreaks,10_1007_s40609_018_0123_y_page1,2
economic contexts,10_1007_s40609_018_0123_y_page1,1
experiences,10_1007_s40609_018_0123_y_page1,1
key,10_1007_s40609_018_0123_y_page1,1
narra,10_1007_s40609_018_0123_y_page1,11
narratives,10_1007_s40609_018_0123_y_page1,10
politics,10_1007_s40609_018_0123_y_page1,8
responses,10_1007_s40609_018_0123_y_page1,2
themes,10_1007_s40609_018_0123_y_page1,2
credible evidence,10_1007_s40609_018_0123_y_page10-2,1
et,10_1007_s40609_018_0123_y_page10-2,3
human effectiveness,10_1007_s40609_018_0123_y_page10-2,1
also,10_1007_s40609_018_0123_y_page10,1
arly,10_1007_s40609_018_0123_y_page10,3
crit,10_1007_s40609_018_0123_y_page10,3
criticized,10_1007_s40609_018_0123_y_page10,2
gets,10_1007_s40609_018_0123_y_page10,1
particular narratives,10_1007_s40609_018_0123_y_page10,1
process,10_1007_s40609_018_0123_y_page10,2
question,10_1007_s40609_018_0123_y_page10,1
within,10_1007_s40609_018_0123_y_page10,1
appro,10_1007_s40609_018_0123_y_page11-2,1
papers,10_1007_s40609_018_0123_y_page11-2,1
time frame,10_1007_s40609_018_0123_y_page11-2,1
come,10_1007_s40609_018_0123_y_page11,3
create,10_1007_s40609_018_0123_y_page11,1
health,10_1007_s40609_018_0123_y_page11,4
outbreak,10_1007_s40609_018_0123_y_page11,6
politics,10_1007_s40609_018_0123_y_page11,3
racialization,10_1007_s40609_018_0123_y_page11,1
themes,10_1007_s40609_018_0123_y_page11,1
complexity,10_1007_s40609_018_0123_y_page12-2,1
ethnic community organizations,10_1007_s40609_018_0123_y_page12-2,1
health,10_1007_s40609_018_0123_y_page12-2,6
early,10_1007_s40609_018_0123_y_page12-3,1
detained,10_1007_s40609_018_0123_y_page12,1
disease,10_1007_s40609_018_0123_y_page12,7
ecology,10_1007_s40609_018_0123_y_page12,1
epidemic,10_1007_s40609_018_0123_y_page12,5
glob,10_1007_s40609_018_0123_y_page12,4
global,10_1007_s40609_018_0123_y_page12,4
context,10_1007_s40609_018_0123_y_page13-2,1
health,10_1007_s40609_018_0123_y_page13,6
public,10_1007_s40609_018_0123_y_page13,2
cultures,10_1007_s40609_018_0123_y_page2-2,1
analysis,10_1007_s40609_018_0123_y_page2,2
criticized,10_1007_s40609_018_0123_y_page2,1
diseases development,10_1007_s40609_018_0123_y_page2,1
epi,10_1007_s40609_018_0123_y_page2,9
making processes,10_1007_s40609_018_0123_y_page2,1
narratives,10_1007_s40609_018_0123_y_page2,5
relevant,10_1007_s40609_018_0123_y_page2,2
supplies,10_1007_s40609_018_0123_y_page2,1
administration,10_1007_s40609_018_0123_y_page3,1
except,10_1007_s40609_018_0123_y_page3,1
informing,10_1007_s40609_018_0123_y_page3,1
involved,10_1007_s40609_018_0123_y_page3,1
legitimacy,10_1007_s40609_018_0123_y_page3,1
set,10_1007_s40609_018_0123_y_page3,3
vant,10_1007_s40609_018_0123_y_page3,3
unprepared,10_1007_s40609_018_0123_y_page4-2,1
advisories,10_1007_s40609_018_0123_y_page4,5
freedom,10_1007_s40609_018_0123_y_page4,1
glob,10_1007_s40609_018_0123_y_page4,1
movement,10_1007_s40609_018_0123_y_page4,1
problems,10_1007_s40609_018_0123_y_page4,1
contact,10_1007_s40609_018_0123_y_page5-2,1
hand,10_1007_s40609_018_0123_y_page5-2,1
health,10_1007_s40609_018_0123_y_page5-2,4
health behaviors,10_1007_s40609_018_0123_y_page5-2,1
individualized,10_1007_s40609_018_0123_y_page5-2,1
racialized stereotyping,10_1007_s40609_018_0123_y_page5-2,1
ali,10_1007_s40609_018_0123_y_page5,4
attribution,10_1007_s40609_018_0123_y_page5,2
narratives,10_1007_s40609_018_0123_y_page5,1
pational,10_1007_s40609_018_0123_y_page5,1
science,10_1007_s40609_018_0123_y_page5,1
given effective prevention,10_1007_s40609_018_0123_y_page6-2,1
human,10_1007_s40609_018_0123_y_page6-2,3
repellants,10_1007_s40609_018_0123_y_page6-2,1
speaks,10_1007_s40609_018_0123_y_page6-2,1
affected,10_1007_s40609_018_0123_y_page6,4
controlling,10_1007_s40609_018_0123_y_page6,1
distance,10_1007_s40609_018_0123_y_page6,1
distribution,10_1007_s40609_018_0123_y_page6,1
ease,10_1007_s40609_018_0123_y_page6,6
health,10_1007_s40609_018_0123_y_page6,7
important,10_1007_s40609_018_0123_y_page6,1
literature,10_1007_s40609_018_0123_y_page6,2
mosquito,10_1007_s40609_018_0123_y_page6,2
quality,10_1007_s40609_018_0123_y_page6,1
soc,10_1007_s40609_018_0123_y_page6,3
climate change,10_1007_s40609_018_0123_y_page7-2,1
epidemics,10_1007_s40609_018_0123_y_page7-2,1
literature spoke,10_1007_s40609_018_0123_y_page7-2,1
preventing,10_1007_s40609_018_0123_y_page7-2,1
provide,10_1007_s40609_018_0123_y_page7-2,1
urbanization,10_1007_s40609_018_0123_y_page7-2,1
avoid traveling,10_1007_s40609_018_0123_y_page7,1
de,10_1007_s40609_018_0123_y_page7,18
events held,10_1007_s40609_018_0123_y_page7,1
glob,10_1007_s40609_018_0123_y_page7,7
mosquitothe vector,10_1007_s40609_018_0123_y_page7,1
team,10_1007_s40609_018_0123_y_page7,1
trade,10_1007_s40609_018_0123_y_page7,2
acceptable cultural,10_1007_s40609_018_0123_y_page8-2,1
context,10_1007_s40609_018_0123_y_page8-2,3
et,10_1007_s40609_018_0123_y_page8-2,6
inappropriate,10_1007_s40609_018_0123_y_page8-2,1
inter,10_1007_s40609_018_0123_y_page8-2,4
ventions aimed,10_1007_s40609_018_0123_y_page8-2,1
countries typically,10_1007_s40609_018_0123_y_page8,1
deaths,10_1007_s40609_018_0123_y_page8,2
et al,10_1007_s40609_018_0123_y_page8,6
fact,10_1007_s40609_018_0123_y_page8,1
including,10_1007_s40609_018_0123_y_page8,1
infrastructure,10_1007_s40609_018_0123_y_page8,4
reporting,10_1007_s40609_018_0123_y_page8,1
virus spread,10_1007_s40609_018_0123_y_page8,1
worldwide,10_1007_s40609_018_0123_y_page8,1
highlight,10_1007_s40609_018_0123_y_page9-2,1
literature,10_1007_s40609_018_0123_y_page9-2,2
affected,10_1007_s40609_018_0123_y_page9,2
critical research,10_1007_s40609_018_0123_y_page9,1
distributed,10_1007_s40609_018_0123_y_page9,1
limited,10_1007_s40609_018_0123_y_page9,2
politics,10_1007_s40609_018_0123_y_page9,7
proposed,10_1007_s40609_018_0123_y_page9,2
public,10_1007_s40609_018_0123_y_page9,4
response,10_1007_s40609_018_0123_y_page9,1
support,10_1007_s40609_018_0123_y_page9,1
yet,10_1007_s40609_018_0123_y_page9,1
augusta,10_1017_ice_2020_61_page1,2
data collection,10_1017_ice_2020_61_page10,3
mobile,10_1017_ice_2020_61_page10,1
response,10_1017_ice_2020_61_page10,1
data,10_1017_ice_2020_61_page12,1
demographic,10_1017_ice_2020_61_page12,1
socio,10_1017_ice_2020_61_page12,1
virus,10_1017_ice_2020_61_page12,3
individuals respond,10_1017_ice_2020_61_page13,1
one,10_1017_ice_2020_61_page13,4
relations,10_1017_ice_2020_61_page13,7
sets,10_1017_ice_2020_61_page14,1
survey,10_1017_ice_2020_61_page15,1
improve,10_1017_ice_2020_61_page2,1
learning,10_1017_ice_2020_61_page2,2
possible case,10_1017_ice_2020_61_page2,1
bring,10_1017_ice_2020_61_page3,1
including cases,10_1017_ice_2020_61_page3,1
problem,10_1017_ice_2020_61_page3,1
protect,10_1017_ice_2020_61_page3,1
timely,10_1017_ice_2020_61_page3,1
described,10_1017_ice_2020_61_page4,1
door,10_1017_ice_2020_61_page4,2
data,10_1017_ice_2020_61_page5,2
faster,10_1017_ice_2020_61_page5,1
possible infection,10_1017_ice_2020_61_page5,1
results,10_1017_ice_2020_61_page5,1
without,10_1017_ice_2020_61_page5,1
could help predict,10_1017_ice_2020_61_page7,1
novel coronavirus death,10_1017_ice_2020_61_page7,1
residential,10_1017_ice_2020_61_page7,1
detection using image processing,10_1017_ice_2020_61_page8,1
pone,10_1017_ice_2020_61_page9,1
awareness,10_1017_S0950268820000424_page1-2,1
location,10_1017_S0950268820000424_page1-2,2
airlines,10_1017_S0950268820000424_page1,1
end,10_1017_S0950268820000424_page1,2
low risk,10_1017_S0950268820000424_page1,2
risk,10_1017_S0950268820000424_page1,17
study,10_1017_S0950268820000424_page1,1
ter,10_1017_S0950268820000424_page1,3
week 2019,10_1017_S0950268820000424_page1,1
weekly,10_1017_S0950268820000424_page1,1
extracted,10_1017_S0950268820000424_page2-2,2
importation,10_1017_S0950268820000424_page2-2,1
index,10_1017_S0950268820000424_page2-2,5
risk,10_1017_S0950268820000424_page2-2,15
study,10_1017_S0950268820000424_page2-2,1
travel,10_1017_S0950268820000424_page2-2,5
updated,10_1017_S0950268820000424_page2-2,1
absolute certainty,10_1017_S0950268820000424_page2,1
cities,10_1017_S0950268820000424_page2,4
et,10_1017_S0950268820000424_page2,10
flights,10_1017_S0950268820000424_page2,2
global,10_1017_S0950268820000424_page2,2
human,10_1017_S0950268820000424_page2,3
infected,10_1017_S0950268820000424_page2,5
means,10_1017_S0950268820000424_page2,3
outbreak around,10_1017_S0950268820000424_page2,1
timing,10_1017_S0950268820000424_page2,1
based,10_1017_S0950268820000424_page3,1
countries currently reporting,10_1017_S0950268820000424_page5,1
high,10_1017_S0950268820000424_page5,8
higher,10_1017_S0950268820000424_page5,3
hub,10_1017_S0950268820000424_page5,1
infection,10_1017_S0950268820000424_page5,2
light,10_1017_S0950268820000424_page5,4
number,10_1017_S0950268820000424_page5,3
risk score,10_1017_S0950268820000424_page5,1
top,10_1017_S0950268820000424_page5,1
clinical,10_1017_S0950268820000424_page6-2,1
declare,10_1017_S0950268820000424_page6-2,1
information,10_1017_S0950268820000424_page6-2,1
may reduce,10_1017_S0950268820000424_page6-2,1
risk assessment,10_1017_S0950268820000424_page6-2,1
account,10_1017_S0950268820000424_page6-3,1
al,10_1017_S0950268820000424_page6-3,2
based healthcare,10_1017_S0950268820000424_page6,1
certain,10_1017_S0950268820000424_page6,1
coeffi,10_1017_S0950268820000424_page6,1
countries,10_1017_S0950268820000424_page6,10
detection data indicate,10_1017_S0950268820000424_page6,1
disease,10_1017_S0950268820000424_page6,3
fatality,10_1017_S0950268820000424_page6,1
middle countries,10_1017_S0950268820000424_page6,1
showed,10_1017_S0950268820000424_page6,1
spread,10_1017_S0950268820000424_page6,3
third,10_1017_S0950268820000424_page6,1
al,10_1017_S0950268820000424_page7,16
geese,10_1017_S0950268820000424_page7,1
