keyword,doc_id,Frecuencia
activewatch,252,2
alerts,252,1
auditable records,252,1
availability,252,2
clustering,252,1
custom software,252,1
discover,252,1
email,252,1
external monitoring,252,1
firewall,252,1
freshwater software,252,2
freshwater software's siteseer,252,1
internet,252,2
internet connection,252,1
load balancing,252,1
markets,252,1
mercury interactive,252,2
monitor,252,5
nines,252,2
pager,252,1
performance monitoring,252,1
periodic reports,252,1
priced services available,252,1
raid,252,1
remote hosts,252,1
remote locations,252,1
siteseer,252,2
track,252,1
uptime,252,3
web admin,252,1
web site,252,1
additive composite,2024,1
background,2024,2
background shifts,2024,1
binocular image pair,2024,2
binocular model,2024,1
binocular parallax,2024,1
component,2024,2
constituent phasors,2024,1
decoupling,2024,1
foreground,2024,2
fourier component,2024,1
fourier transform,2024,2
inverse fourier transform,2024,1
magnitudes,2024,1
occluding,2024,2
occluding images,2024,1
resultant additive images,2024,1
segmentation,2024,3
short baseline binocular image pairs,2024,1
spatial shift,2024,1
translucent,2024,2
translucent objects,2024,1
branch,2119,2
branch points,2119,1
given adjacency matrix based,2119,1
heterogeneous territory,2119,2
optimal solution,2119,1
stepwise optimization algorithm,2119,1
terminal points,2119,1
transport nets,2119,1
transport routes,2119,1
av software,1987,2
baddies,1987,1
control,1987,1
count,1987,1
deployed,1987,1
detects,1987,1
filter data packets,1987,1
firewall,1987,1
hackers,1987,1
internet resources,1987,1
intrusion attempts,1987,1
mcafee,1987,1
news,1987,1
rule sets,1987,1
scenes,1987,1
software,1987,4
top notch programmers,1987,1
trojan,1987,2
trojan horses,1987,2
virus,1987,5
viruses,1987,2
virusscan,1987,1
worms,1987,1
100,2016,1
anchor,2016,2
anchor target,2016,2
automatic camera calibration,2016,1
automatic method,2016,1
calibration process,2016,1
camera calibration,2016,3
camera parameters,2016,1
computer vision inspection,2016,1
fully automatic algorithm,2016,1
improvement methods,2016,2
intelligent roi location algorithm,2016,1
interactive roi specification,2016,1
intrinsic parameters,2016,1
radon transform,2016,1
region of interest,2016,2
region of interest location,2016,1
roi,2016,3
rotation angle,2016,1
zoom lens,2016,1
2d vhf images,2007,1
3d hexahedral finite element mesh,2007,1
3d polygonal representation,2007,1
biological soft tissues,2007,1
biomechanical research,2007,1
combined viscoelastic,2007,1
finite element model,2007,3
human kidney,2007,1
hyperelastic material model,2007,1
image segmentation,2007,1
kidney for,2007,2
meshing software,2007,1
national library of medicine visible human female,2007,1
nurbs,2007,1
organ reconstruction software package,2007,1
trauma research,2007,2
vhf,2007,2
breakdowns,316,1
construction,316,1
convolution model,316,1
discrete scores,316,1
dual lotka,316,1
duality revisited,316,1
egghe,316,1
exponent 2,316,1
fractional,316,5
fractional frequency distributions,316,4
fractional frequency distributions based,316,1
fractional frequency distributions of,316,1
law,316,4
lotka,316,3
lotka laws,316,2
reworked,316,1
suming,316,1
ci,29,1
combining polynomial neural networks,29,1
computational intelligence,29,1
conventional,29,1
data handling,29,1
dynamic topology,29,1
fnn,29,3
fnns,29,2
fpnn,29,6
fpnn results,29,1
fpnns,29,2
fuzzy modeling,29,2
fuzzy models,29,1
fuzzy neural networks,29,1
fuzzy polynomial neural networks,29,2
fuzzy sets,29,1
generalization capabilities,29,1
genetic algorithms,29,1
gmdh,29,1
hybrid architectures,29,1
hybrid modeling architecture,29,1
networks,29,7
neural networks,29,6
organized dynamically,29,1
pnn,29,10
pnns,29,4
required approximation error,29,1
additional restrictions,330,4
authentication,330,2
computer security,330,1
computer systems,330,1
crackability,330,1
imposed,330,2
increases security,330,1
log,330,2
minimum character length,330,1
password,330,10
password checking,330,1
passwords,330,4
proactive,330,3
proactive password restrictions,330,2
required length,330,1
restrictions,330,9
security,330,3
users,330,2
accountability,371,1
atm,371,1
automatic teller machine,371,1
ballot box,371,1
canada,371,1
election officials,371,1
electronic voting systems,371,1
internet,371,1
kiosk style,371,1
lever machines,371,1
polls,371,1
pose,371,1
reliability,371,1
technology,371,1
voting issues,371,1
voting online,371,1
voting products,371,1
voting systems,371,2
widespread fraud,371,1
asymmetry,248,1
behaviour,248,3
distributed system,248,1
dynamic changes,248,1
finite state,248,1
knowledge,248,2
nonreactive behaviour,248,1
proof technique,248,1
protocol,248,6
protocol stabilizing,248,1
quiescence,248,2
quiescence time,248,2
synchronous network,248,1
topology,248,1
unique identifiers,248,1
universal,248,2
assistant,2165,1
breach,2165,1
city law firm field,2165,1
data protection,2165,2
data protection act,2165,2
first case,2165,1
legal implications,2165,1
naomi,2165,2
naomi campbell,2165,2
online publishers,2165,1
turle,2165,1
bureaucratic structure,2182,1
environmental instability,2182,1
face,2182,1
information processing perspective,2182,1
information technology,2182,2
network,2182,1
organization,2182,6
organization design,2182,1
organizational design,2182,1
organizational structures,2182,2
shadow structure,2182,2
stability,2182,2
unstable environment,2182,2
accountable,1944,1
certificate authorization,1944,1
contract development tools,1944,1
electronic devices,1944,1
electronic government procurement,1944,2
electronic government procurement system,1944,2
electronic tendering,1944,1
government bodies,1944,1
government procurement,1944,5
information,1944,1
internal procurement processes,1944,1
internet,1944,1
lesson learned,1944,1
nondiscriminating,1944,1
online bidding,1944,1
online payment,1944,1
reengineers,1944,1
taiwan,1944,2
taiwan government procurement law,1944,1
tgpl,1944,1
transparent,1944,1
vendor registration,1944,1
vendors,1944,1
computer industry,214,1
confusion,214,1
development spending,214,1
evolution,214,2
government research,214,1
parallel computing architectures,214,1
product innovation,214,2
strategic analysis,214,1
technological,214,1
technology strategy,214,1
usa,214,1
affine invariants,1973,2
algebraically dependent,1973,1
complete set,1973,1
computing complexity,1973,1
convex polygons,1973,1
correspondence,1973,1
discrimination power,1973,1
image registration,1973,1
invariants,1973,3
object recognition,1973,1
adder,2021,2
incoherent correlator,2021,2
intermediate,2021,1
minterms,2021,2
minterms needs,2021,1
modified,2021,2
msd,2021,2
operand length,2021,1
propagation,2021,1
reference digits,2021,1
symbolic substitution,2021,1
computer applications,1985,2
deregulation,1985,1
electric power industry,1985,1
exponential rate,1985,1
industry changes,1985,1
interconnected bulk electric systems,1985,1
networked information systems,1985,1
power,1985,4
power engineers,1985,1
restructuring,1985,1
technology changes,1985,1
asexual,1957,1
biological ageing,1957,1
cellular automata model,1957,2
danuta,1957,1
lattice,1957,2
law,1957,1
movable wolves,1957,1
penna,1957,3
penna model,1957,2
planar lattice,1957,1
predation,1957,2
restraining effect,1957,1
restraining factor,1957,1
sheep,1957,2
sheep fluctuate,1957,1
verhulst factor,1957,2
accepting,2140,1
basic equilibria,2140,1
dynamic game problems,2140,1
equilibrium,2140,1
static,2140,1
strong active solution,2140,1
cad/cae software aids converter design,411,1
cad/cae tools,411,1
dc/dc power conversion,411,1
electronic,411,1
flyback converter example,411,1
magnetic components,411,1
power supply design,411,1
power supply engineer,411,1
prototyping costs,411,1
analyzed,282,1
decision based,282,1
ecology question,282,1
internet,282,6
internet inquiry project,282,3
internet inquiry projects,282,2
ninth,282,1
online support,282,3
participated,282,1
rationale,282,1
teachers,282,1
textbook,282,1
web sites,282,3
classroom,2050,5
classroom edition,2050,1
classroom using,2050,1
microsoft powerpoint,2050,1
television game,2050,1
electrical power,212,1
eskom,212,1
growing pressure,212,1
key,212,1
knowledge management,212,2
power industry,212,2
procedural language,2048,1
simlib,2048,4
simulation,2048,4
simulation package,2048,2
experimental applications,2011,1
global,2011,1
hybrid algorithm,2011,4
hybrid approach,2011,1
innovative,2011,1
local treatment,2011,1
novel algorithm,2011,1
numerical simulation,2011,1
phase inconsistency,2011,1
phase unwrapping,2011,2
phase unwrapping algorithm,2011,1
postprocessor,2011,1
preprocessor,2011,1
robustness,2011,1
speed,2011,1
stability,2011,1
unwrapping,2011,6
unwrapping algorithms,2011,1
wrapped map,2011,1
autotuner,40,2
controller parameters,40,1
design method,40,2
design pid controllers,40,1
genetic algorithm,40,2
performance assessment formulas,40,1
performance assessment rules,40,1
pid controller,40,5
pid controller design method,40,1
pid controller tuned,40,1
process dynamics,40,1
simulation studies,40,1
tuning formula,40,2
tuning method,40,4
aggregate,26,1
arbitrary generator,26,1
determination of weights,26,1
learning weights,26,1
parametric functions,26,1
weighted means,26,3
weights,26,3
bayesian decision procedure requiring,2094,1
gauss' inequality,2094,1
minimal probability content,2094,1
parameter space,2094,1
parameter subset,2094,1
partial prior information,2094,1
prior distributions restricted,2094,1
statistical inference,2094,1
analysis results,349,1
control scheme,349,2
degraded,349,2
difference priority classes,349,1
priority,349,4
priority clients,349,2
qos,349,9
qos adjustment,349,1
qos area,349,3
qos areas,349,2
qos degradation,349,1
qos manager,349,1
resource partitioning,349,2
reward/penalty characteristics,349,1
reward/penalty requirements,349,1
service control scheme,349,1
servicing,349,1
simulation,349,1
system resources,349,1
validity,349,1
workload,349,3
30th floors,293,1
34,293,1
active,293,1
anc,293,2
coherence,293,5
empty rectangular rooms located,293,1
error signals,293,1
experimental investigations,293,1
floor,293,2
mode coupling theory,293,1
noise control,293,1
noise reduction,293,1
open window,293,2
rectangular,293,3
rectangular room,293,3
room,293,5
sound pressure,293,1
theoretical,293,2
traffic noise,293,3
traffic noise prediction methods,293,1
traffic noise transmission,293,1
wave theory,293,1
java,257,1
looser approach,257,1
memory management,257,1
microsoft,257,1
prides,257,1
secure sandbox programming model,257,1
speed,257,1
step,257,1
unsafe,257,2
acd,270,2
chemical directory,270,1
chemical libraries,270,2
compounds occurring,270,1
cyclic system,270,1
diverse chemical libraries,270,1
functional groups,270,2
library,270,2
mddr,270,2
mdl,270,1
meqnum,270,4
meqnums,270,3
molecular equivalence indices,270,1
molecular equivalence number,270,2
molecular equivalence numbers,270,1
molecular structures,270,1
nonoverlapping,270,1
random sample,270,2
structural domain,270,1
structural features,270,2
topological shape,270,2
topological shapes,270,1
utility,270,1
background clutter,1977,1
compensation,1977,1
contour detection,1977,1
contour tracking,1977,1
edge indicator function,1977,1
edge map,1977,2
inverted distance transform,1977,1
minimization,1977,1
object motion,1977,2
spurious edges,1977,1
topographical distance,1977,1
tracking nonparameterized object contours,1977,1
tracking result,1977,1
video,1977,2
watershed algorithm,1977,1
watershed segmentation,1977,1
advertising campaign,2100,2
generalization,2100,1
goods,2100,2
linear constraints,2100,1
mathematical model,2100,1
nonlinear programming problems,2100,1
operations research problems,2100,1
optimization,2100,1
cornell university library,240,1
